,text_id,source_tokens,target_tokens,labels
398,AAEC_021,The story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot,the number of that product being sold will increases,support
399,AAEC_021,"When the consumers are impressed by the way a product is advertised, they can be convinced to consider that the product is a need in some cases",advertisers push the limits of creativity to dispose the consumers to purchase the product,support
400,AAEC_021,the number of that product being sold will increases,advertisers push the limits of creativity to dispose the consumers to purchase the product,support
401,AAEC_021,"the more an advertisement of a product takes place in mass media, the more popular the product becomes",Advertisement is the most effective way to create a well-known product,support
402,AAEC_021,Consumers tend to purchase the most known product when it comes to picking one out of two different brands of the same product,Advertisement is the most effective way to create a well-known product,support
403,AAEC_021,advertisements have undeniable affects on the society about the product being advertised,They make the product preferable,support
404,AAEC_021,it also has to be affordable for the consumer,"When a product is commonly used, it becomes trustworthy for the society, no matter what quality it is",attack
405,AAEC_021,"When a product is commonly used, it becomes trustworthy for the society, no matter what quality it is",They make the product preferable,support
406,AAEC_021,The most effective way to convince consumers to purchase a product is through advertising,advertising is the major reason for high sales of a product,support
407,AAEC_021,The most effective way to convince consumers to purchase a product is through advertising,high sales are obviously a reflection of the powerful advertisements,support
408,AAEC_021,advertisers push the limits of creativity to dispose the consumers to purchase the product,advertising is the major reason for high sales of a product,support
409,AAEC_021,advertisers push the limits of creativity to dispose the consumers to purchase the product,high sales are obviously a reflection of the powerful advertisements,support
410,AAEC_021,Advertisement is the most effective way to create a well-known product,advertising is the major reason for high sales of a product,support
411,AAEC_021,Advertisement is the most effective way to create a well-known product,high sales are obviously a reflection of the powerful advertisements,support
412,AAEC_021,They make the product preferable,advertising is the major reason for high sales of a product,support
413,AAEC_021,They make the product preferable,high sales are obviously a reflection of the powerful advertisements,support
414,AAEC_042,Workers understand they have to work harder to meet the boss' expectations and to make themselves worthwhile,A raise or a promotion can no doubt increase the morale in the working places,support
415,AAEC_042,junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work,A raise or a promotion can no doubt increase the morale in the working places,support
416,AAEC_042,it is an important phase for them to study hard and get into the high school they want,junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work,support
417,AAEC_042,"If the teachers receive higher salaries, they will be willing to spend more extra time mentoring the youngsters rather than hoping they learn in cram schools and so forth, as this is what is happening in Taiwan",junior high school teachers have great responsibility not only for students' private lives as they are going through adolescence but also their school work,support
418,AAEC_042,"Take Google for example, the company offers recreation rooms and extra personal leaves for their workers to develop a more relaxing and supportive workforce",creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances,support
419,AAEC_042,the employers can make sure the employees can actually focus and concentrate on their projects instead of thinking about their children or feeling pressured,creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances,support
420,AAEC_042,they will be feeling more cared for and therefore do their best for their bosses,a higher pay can be one of the incentive if were to encourage harder-working employees,support
421,AAEC_042,they will be feeling more cared for and therefore do their best for their bosses,providing a more secured and relaxing environment for workers can fundamentally boost their productivity,support
422,AAEC_042,A raise or a promotion can no doubt increase the morale in the working places,a higher pay can be one of the incentive if were to encourage harder-working employees,support
423,AAEC_042,A raise or a promotion can no doubt increase the morale in the working places,providing a more secured and relaxing environment for workers can fundamentally boost their productivity,support
424,AAEC_042,creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances,a higher pay can be one of the incentive if were to encourage harder-working employees,attack
425,AAEC_042,creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances,providing a more secured and relaxing environment for workers can fundamentally boost their productivity,attack
426,AAEC_052,it promotes the communication and interaction between different countries more conveniently and clearly,the prevalent of English brings a great number of benefits for people,support
427,AAEC_052,"In the ancient time, the different languages and geography set barriers for people to exchange their goods and ideas",the prevalent of English brings a great number of benefits for people,support
428,AAEC_052,the innovation of plane and train solved the geographical barriers,the prevalent of English brings a great number of benefits for people,support
429,AAEC_052,"If we can popularize the use of English, the language hinder will disappear as well",the prevalent of English brings a great number of benefits for people,support
430,AAEC_052,"English is a beautiful language, which is more systematical and extensive than many other languages",the prevalent of English brings a great number of benefits for people,support
431,AAEC_052,Learning English can foster people's sentiment and nourish their literature and art,the prevalent of English brings a great number of benefits for people,support
432,AAEC_052,"it does not express every detail of life especially in Asia countries, which have totally different linguistic system",English is a sophisticated language,support
433,AAEC_052,English is a sophisticated language,the dominated status of English has destroyed culture diversity and many less-used languages become extinct,support
434,AAEC_052,"language contains many aspects of people's daily life, which is influenced by culture, environment as well as religious",these languages have special significance for people who belong to them and using English to replace them is crudity,support
435,AAEC_052,these languages have special significance for people who belong to them and using English to replace them is crudity,the dominated status of English has destroyed culture diversity and many less-used languages become extinct,support
436,AAEC_052,the prevalent of English brings a great number of benefits for people,English as an elegant language should be advocated in many fields to expand the global trade and communications,support
437,AAEC_052,the dominated status of English has destroyed culture diversity and many less-used languages become extinct,English as an elegant language should be advocated in many fields to expand the global trade and communications,attack
438,AAEC_052,we still need preserve other languages for sake of keeping the linguistic and cultural diversity,English as an elegant language should be advocated in many fields to expand the global trade and communications,attack
439,AAEC_061,"in earlier days, if one had to send a message to someone in other country, it used to take months","Computers have made human life more easy, convenient and lightning fast",support
440,AAEC_061,"today, it can be sent in few minutes by typing a email and few clicks","Computers have made human life more easy, convenient and lightning fast",support
441,AAEC_061,"In the modern world, computers are used everywhere","Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it",support
442,AAEC_061,"Right from flying planes to sending a small document, computers are needed","Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it",support
443,AAEC_061,"They are used in space programs, wars, hospitals, schools and so on","Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it",support
444,AAEC_061,"Computers have made human life more easy, convenient and lightning fast","Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it",support
445,AAEC_061,"From a computer as big as a room, it has now been minimized to the size of a palm",future prospects of computers are very bright,support
446,AAEC_061,Nanotechnology is working to make computers to the order of microscopic levels,future prospects of computers are very bright,support
447,AAEC_061,Research on making computerized drone soldiers (unmanned computer controlled) is going on,future prospects of computers are very bright,support
448,AAEC_061,There is no end to the evolution of computers,future prospects of computers are very bright,support
449,AAEC_061,"Virus programs, privacy breach, leak of confidential documents, cyber attacks, identity theft, frauds etc. are some of its demerits, from a countless list",Computers have made humans over-dependent,support
450,AAEC_061,Computers expose children to vulgar materials,Computers have made humans over-dependent,support
451,AAEC_061,"They have even invaded mental health of humans, for example, FAD (Facebook Addiction Disorder - excessive use of social networking website Facebook)",Computers have made humans over-dependent,support
452,AAEC_061,Computers have intruded our lives to the effect that a satellite can peep into our homes and privates lives,Computers have made humans over-dependent,support
453,AAEC_061,"The recent case of Wikileaks, leaking confidential data is an example of how computers are harmful",Computers have made humans over-dependent,support
454,AAEC_061,computers have provided security and sophistication,dependence on computers is not a bad thing,support
455,AAEC_061,computers have provided security and sophistication,"The whole world is dependent on computers, without which, the world will go back hundreds of years",support
456,AAEC_061,"Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it",dependence on computers is not a bad thing,support
457,AAEC_061,"Computers provide speed, increase efficiency, accuracy, precision, help to increase productivity and other countless benefits are provided by it","The whole world is dependent on computers, without which, the world will go back hundreds of years",support
458,AAEC_061,future prospects of computers are very bright,dependence on computers is not a bad thing,support
459,AAEC_061,future prospects of computers are very bright,"The whole world is dependent on computers, without which, the world will go back hundreds of years",support
460,AAEC_061,Computers have made humans over-dependent,dependence on computers is not a bad thing,attack
461,AAEC_061,Computers have made humans over-dependent,"The whole world is dependent on computers, without which, the world will go back hundreds of years",attack
462,AAEC_068,they regard the violence as reasonable and justifiable,"This will definitely set a bad example for the immature audiences who, lacking correct parental guidance and abilities to differentiate the right from wrong, are prone to go astray by imitating the violent behaviors and committing real violent crimes",support
463,AAEC_068,It should be reporting and reflecting true phenomenon in the society,"Violence, as one of the facts in the real world, certainly has to be reported",support
464,AAEC_068,"media, such as TV or film, is considered as the correct information source regulated by the government","Violence, as one of the facts in the real world, certainly has to be reported",support
465,AAEC_068,"Violence, as one of the facts in the real world, certainly has to be reported",excessive violence would offer misleading information to the public and exert detrimental influence to the society as well,attack
466,AAEC_068,"It is recently reported in the news that a seventeen-year-old boy killed all his family members, one sister and two parents out of hatred and jealousy",excessive violence would offer misleading information to the public and exert detrimental influence to the society as well,support
467,AAEC_068,"In the real world, we are inclined to take extreme approach to tackle a small problem due to excessive violence exposure",excessive violence would offer misleading information to the public and exert detrimental influence to the society as well,support
468,AAEC_068,our society is occupied with the violent scenes and plots at present,it is time for the government to take action to control the proliferation of violent scenes in media,support
469,AAEC_068,our society is occupied with the violent scenes and plots at present,What the government should do immediately is to strengthen censorship to control the amount of violence in media,support
470,AAEC_068,"This will definitely set a bad example for the immature audiences who, lacking correct parental guidance and abilities to differentiate the right from wrong, are prone to go astray by imitating the violent behaviors and committing real violent crimes",it is time for the government to take action to control the proliferation of violent scenes in media,support
471,AAEC_068,"This will definitely set a bad example for the immature audiences who, lacking correct parental guidance and abilities to differentiate the right from wrong, are prone to go astray by imitating the violent behaviors and committing real violent crimes",What the government should do immediately is to strengthen censorship to control the amount of violence in media,support
472,AAEC_068,excessive violence would offer misleading information to the public and exert detrimental influence to the society as well,it is time for the government to take action to control the proliferation of violent scenes in media,support
473,AAEC_068,excessive violence would offer misleading information to the public and exert detrimental influence to the society as well,What the government should do immediately is to strengthen censorship to control the amount of violence in media,support
474,AAEC_071,"they are not in the purpose of making profits but taking a role of disseminating valued culture, good moral traits and calling for helps for the disabled and the poor",it is unfair to restrict those public service advertisements which are creative and inspiring,support
475,AAEC_071,it could simulate household spending and therefore promote the economic development of the whole country,publicizing brand image or a particular product of mass media could boost sales for companies,support
476,AAEC_071,"A recent study shows that after launching an advertising campaign, the sales revenue would increase by 40%, which is the very fact to verify its positive influences on economic",publicizing brand image or a particular product of mass media could boost sales for companies,support
477,AAEC_071,its merits still outweigh these downsides,"the advertising expenses lead to a higher product price and some of them express fake information, creating information asymmetry between consumers and companies",attack
478,AAEC_071,it is unfair to restrict those public service advertisements which are creative and inspiring,"while some of them are disturbing, we can not overlook other merits the advertisements bring",support
479,AAEC_071,it is unfair to restrict those public service advertisements which are creative and inspiring,advertisements have its social responsibility and contribute to economic growth,support
480,AAEC_071,publicizing brand image or a particular product of mass media could boost sales for companies,"while some of them are disturbing, we can not overlook other merits the advertisements bring",support
481,AAEC_071,publicizing brand image or a particular product of mass media could boost sales for companies,advertisements have its social responsibility and contribute to economic growth,support
482,AAEC_071,"the advertising expenses lead to a higher product price and some of them express fake information, creating information asymmetry between consumers and companies","while some of them are disturbing, we can not overlook other merits the advertisements bring",attack
483,AAEC_071,"the advertising expenses lead to a higher product price and some of them express fake information, creating information asymmetry between consumers and companies",advertisements have its social responsibility and contribute to economic growth,attack
484,AAEC_072,"Any kinds of sports, such as jogging, swimming, or playing basketball, can effectively facilitate human respiration and circulation system",exercise play a crucial role in ameliorating physical health,support
485,AAEC_072,these sports can also strengthen muscles and lessen surplus adipose tissues in human body,exercise play a crucial role in ameliorating physical health,support
486,AAEC_072,The latter one is of particular importance because nowadays more and more people are suffer from obesity,exercise play a crucial role in ameliorating physical health,support
487,AAEC_072,"Many studies has points out that numbers of overweight people have increased in developed countries in recent years, which mainly results from insufficient exercises",exercise play a crucial role in ameliorating physical health,support
488,AAEC_072,"This hormone can delight one's mind, creating positive feelings",good exercises can often successfully alleviating one's heavy burdens,support
489,AAEC_072,"When people exercise, the neuron cells in the brain release a chemical compound named Dopamine",Sports activities can improve mental health,support
490,AAEC_072,good exercises can often successfully alleviating one's heavy burdens,Sports activities can improve mental health,support
491,AAEC_072,many activities can let humans relax,"the most suitable method of reducing stress for modern people is by different kinds of exercise, which can not only improve health conditions but also bring positive emotions",attack
492,AAEC_072,many activities can let humans relax,"the best way of diminishing stress is by exercises, which can benefit everyone not only physically but also mentally",attack
493,AAEC_072,exercise play a crucial role in ameliorating physical health,"the most suitable method of reducing stress for modern people is by different kinds of exercise, which can not only improve health conditions but also bring positive emotions",support
494,AAEC_072,exercise play a crucial role in ameliorating physical health,"the best way of diminishing stress is by exercises, which can benefit everyone not only physically but also mentally",support
495,AAEC_072,"rigorous exercise can also hone one's will, which enable people to be able to tackle stringent problems and arduous tasks","the most suitable method of reducing stress for modern people is by different kinds of exercise, which can not only improve health conditions but also bring positive emotions",support
496,AAEC_072,"rigorous exercise can also hone one's will, which enable people to be able to tackle stringent problems and arduous tasks","the best way of diminishing stress is by exercises, which can benefit everyone not only physically but also mentally",support
497,AAEC_072,Sports activities can improve mental health,"the most suitable method of reducing stress for modern people is by different kinds of exercise, which can not only improve health conditions but also bring positive emotions",support
498,AAEC_072,Sports activities can improve mental health,"the best way of diminishing stress is by exercises, which can benefit everyone not only physically but also mentally",support
499,AAEC_077,"our environment is damaged day by day due to the fact that excessive pursuit of economic development at expense of eco-system, which pose a great threat to the survival of wild animals",zoo is a good alternative choice for protecting animals,support
500,AAEC_077,various animals could be better protected by specialized staff,zoo is a good alternative choice for protecting animals,support
501,AAEC_077,"Once the animal got sick, professional vet will help them promptly",zoo is a good alternative choice for protecting animals,support
502,AAEC_077,"Thanks to the considerate care, the diversity of wild animal could be guaranteed",zoo is a good alternative choice for protecting animals,support
503,AAEC_077,"In the zoos, even though wild animals are caged, they have capability to walk in a limited area","When children pay a visit to the zoos, they still could observe the eating behavior or leisure activities among animals, which would definitely enrich their knowledge associated with different animals",support
504,AAEC_077,"When children pay a visit to the zoos, they still could observe the eating behavior or leisure activities among animals, which would definitely enrich their knowledge associated with different animals","zoos afford a platform to education teenagers, helping to establish eco-friendly behavior towards animals",support
505,AAEC_077,children could acquire the information regarding how to protect wild animals according to guided tour or volunteers,"zoos afford a platform to education teenagers, helping to establish eco-friendly behavior towards animals",support
506,AAEC_077,some zoos are lack of systematic management which attributes to numerous wild animals die because of food shortage,complained about the drawbacks of zoos are often heard,support
507,AAEC_077,being caged in the zoos for long render wildlife lost the ability to survive in nature where is full of cruel competition among various animals,complained about the drawbacks of zoos are often heard,support
508,AAEC_077,zoo is a good alternative choice for protecting animals,zoos have irreplaceable benefits in terms of animal preservation and children education,support
509,AAEC_077,zoo is a good alternative choice for protecting animals,zoos offer a good man-made environment which could prolong the life span of wild animals and cultivate the notion of protecting animals,support
510,AAEC_077,"zoos afford a platform to education teenagers, helping to establish eco-friendly behavior towards animals",zoos have irreplaceable benefits in terms of animal preservation and children education,support
511,AAEC_077,"zoos afford a platform to education teenagers, helping to establish eco-friendly behavior towards animals",zoos offer a good man-made environment which could prolong the life span of wild animals and cultivate the notion of protecting animals,support
512,AAEC_077,complained about the drawbacks of zoos are often heard,zoos have irreplaceable benefits in terms of animal preservation and children education,attack
513,AAEC_077,complained about the drawbacks of zoos are often heard,zoos offer a good man-made environment which could prolong the life span of wild animals and cultivate the notion of protecting animals,attack
514,AAEC_082,advertising is carried out with the main purpose of promoting different products and services or encouraging people to consume more,"Advertisements are, therefore, very important for many businesses to increase sales and hence profits",support
515,AAEC_082,customers of telecommunication services will have an idea about the current offers of different companies,they can compare them and then have a better decision in choosing their internet or mobile phone plans,support
516,AAEC_082,they can compare them and then have a better decision in choosing their internet or mobile phone plans,"to consumers, advertising can bring them many benefits",support
517,AAEC_082,advertising can be very expensive and not every advertising campaign can be done successfully and brings good results,"advertising is believed by many, a financial burden to businesses",support
518,AAEC_082,more good comes from advertising than bad,the idea that advertising is a positive part of life can be more supported,support
519,AAEC_082,"Advertisements are, therefore, very important for many businesses to increase sales and hence profits",the idea that advertising is a positive part of life can be more supported,support
520,AAEC_082,"a huge amount of different advertisements could be sent automatically by a system to personal phones or email addresses, this is generally known as spam, and causes discomfort or even annoyance to many people",the idea that advertising is a positive part of life can be more supported,attack
521,AAEC_082,"advertising is believed by many, a financial burden to businesses",the idea that advertising is a positive part of life can be more supported,attack
522,AAEC_082,"to consumers, advertising can bring them many benefits",the idea that advertising is a positive part of life can be more supported,support
523,AAEC_086,"in my country the best schools, universities and institutes are located in cities, and todays education is one of the most important parts of our children's life",it is a good idea for children to past their first earlier life in the cities,support
524,AAEC_086,education is better in big cities in comparison with countrysides,it is a good idea for children to past their first earlier life in the cities,support
525,AAEC_086,it is acknowledged that a large number of creational facilities are built in cities,Children who live in cities have a lot of entertainment,support
526,AAEC_086,"playgrounds, parks, science museums, cinemas etc",Children who live in cities have a lot of entertainment,support
527,AAEC_086,in countrysides we hardly ever see creational facilities,Children who live in cities have a lot of entertainment,support
528,AAEC_086,Children who live in countrysides most of the time pass their free time in farms,Children who live in cities have a lot of entertainment,support
529,AAEC_086,in big cities children access to media easily,they can learn a lot of things by watching television and surfing through the net,support
530,AAEC_086,Via internet they can have connection with the other children all around the world,"they can exchange their knowledge, they can learn different cultures",support
531,AAEC_086,it is a good idea for children to past their first earlier life in the cities,big cities can be a good place for bringing up children,support
532,AAEC_086,it is a good idea for children to past their first earlier life in the cities,"Today's children needs somethings to entertain them, and occupy their leisure time in the best way",support
533,AAEC_086,Children who live in cities have a lot of entertainment,big cities can be a good place for bringing up children,support
534,AAEC_086,Children who live in cities have a lot of entertainment,"Today's children needs somethings to entertain them, and occupy their leisure time in the best way",support
535,AAEC_086,they can learn a lot of things by watching television and surfing through the net,big cities can be a good place for bringing up children,support
536,AAEC_086,they can learn a lot of things by watching television and surfing through the net,"Today's children needs somethings to entertain them, and occupy their leisure time in the best way",support
537,AAEC_086,"they can exchange their knowledge, they can learn different cultures",big cities can be a good place for bringing up children,support
538,AAEC_086,"they can exchange their knowledge, they can learn different cultures","Today's children needs somethings to entertain them, and occupy their leisure time in the best way",support
539,AAEC_086,"countrysides have some advantages such as fresh air, peace, and etc",big cities can be a good place for bringing up children,attack
540,AAEC_086,"countrysides have some advantages such as fresh air, peace, and etc","Today's children needs somethings to entertain them, and occupy their leisure time in the best way",attack
541,AAEC_091,"without the availability of the same language, there might be a chance that misunderstanding and conflicts would ensue over business negotiations, impeding collaborations between them",a single international language serves an economic purpose,support
542,AAEC_091,"As businessmen from different countries have access to the same language, they can communicate with each other more efficiently and deeply on trade, which can intensify the transnational cooperation",a single international language serves an economic purpose,support
543,AAEC_091,a single international language plays a pivotal role in global economic cooperation,a single international language serves an economic purpose,support
544,AAEC_091,"when people travel to foreign countries, the local people can introduce the tourist attractions to such people with the command of the universal language, helping foreign visitors have an enjoyable exotic experience","If people are equipped with a single international language, they can tell each other smoothly about their countries' specific cultures such as the traditional customs or the modern lifestyles, which enables people to expand their outlooks, viewing the world in new angles",support
545,AAEC_091,"If people are equipped with a single international language, they can tell each other smoothly about their countries' specific cultures such as the traditional customs or the modern lifestyles, which enables people to expand their outlooks, viewing the world in new angles",a universal language is an integral part of cultural communication and interactions,support
546,AAEC_091,"they have gradually identified with such values expressed in American movies, which are imported by the governments as a result of the proliferation of English","some Asians are seeking individualism, previously denied by many Asian countries",support
547,AAEC_091,"some Asians are seeking individualism, previously denied by many Asian countries","people may be impressed by the cultural values brought with the universal language, eroding a sense of national belong",support
548,AAEC_091,"people may be impressed by the cultural values brought with the universal language, eroding a sense of national belong","a single international language may, to some extent, erode the cultural identity of a nation",support
549,AAEC_091,a single international language serves an economic purpose,a universal language playing the dominant role in the international community is of vital significance to global people,support
550,AAEC_091,a single international language serves an economic purpose,a single international language contributes to global community in terms of economic and cultural communication,support
551,AAEC_091,a universal language is an integral part of cultural communication and interactions,a universal language playing the dominant role in the international community is of vital significance to global people,support
552,AAEC_091,a universal language is an integral part of cultural communication and interactions,a single international language contributes to global community in terms of economic and cultural communication,support
553,AAEC_091,every country should by no means disregard the preservation of their own cultural heritage,a universal language playing the dominant role in the international community is of vital significance to global people,attack
554,AAEC_091,every country should by no means disregard the preservation of their own cultural heritage,a single international language contributes to global community in terms of economic and cultural communication,attack
555,AAEC_091,"a single international language may, to some extent, erode the cultural identity of a nation",a universal language playing the dominant role in the international community is of vital significance to global people,attack
556,AAEC_091,"a single international language may, to some extent, erode the cultural identity of a nation",a single international language contributes to global community in terms of economic and cultural communication,attack
557,AAEC_097,sports events are good chances for excellent athletes to meet and learn valuable experiences from one another,"they can improve their results, break records and bring victories to their own countries",support
558,AAEC_097,a large number of people will gather in the host city for sport events,there are many good opportunities for discovering different cultures,support
559,AAEC_097,there are many good opportunities for discovering different cultures,"sport events with the spirit of healthiness, honesty and fairness can help strengthen understanding, friendship and solidarity among nations",support
560,AAEC_097,"After sharing competitive but interesting moments in each competition, the competitors often shake hands friendly and congratulate the winners, which can lead to an improvement in the relationships among nations","sport events with the spirit of healthiness, honesty and fairness can help strengthen understanding, friendship and solidarity among nations",support
561,AAEC_097,sporting occasions play an essential role in raising patriotic emotions in both athletes and spectators,sport events help to wake up love and responsibilities strongly in each citizen,support
562,AAEC_097,Seeing national flags be honored may be the most emotional moments to each athlete,sport events help to wake up love and responsibilities strongly in each citizen,support
