,text_id,component_tokens,labels
2648,AbstRCT_neoplasm_12721238,This form of exercise can be an important component of supportive care for these patients.,MajorClaim
2649,AbstRCT_neoplasm_16505413,"for patients with hepatic metastases from colorectal cancer, hepatic arterial infusion (HAI) of chemotherapy may improve outcome.",Claim
2650,AbstRCT_neoplasm_16505413,"Overall survival was significantly longer for HAI versus systemic treatment (median, 24.4 v 20 months; P = .0034), as were response rates (47% and 24%; P = .012) and time to hepatic progression (THP; 9.8 v 7.3 months; P = .034).",Premise
2651,AbstRCT_neoplasm_16505413,Time to extrahepatic progression (7.7 v 14.8 months; P = .029) was significantly shorter in the HAI group.,Premise
2652,AbstRCT_neoplasm_16505413,Quality-of-life measurements showed improved physical functioning in the HAI group at the 3- and 6-month follow-up assessments.,Premise
2653,AbstRCT_neoplasm_16505413,"Toxicity included grade > or = 3 neutropenia (2% and 45%; P < .01), stomatitis (0% and 24%; P < .01), and bilirubin elevation (18.6% and 0; P < .01) in the HAI and systemic treatment groups, respectively.",Premise
2654,AbstRCT_neoplasm_16505413,"A greater proportion of men versus women receiving HAI experienced biliary toxicity (37% and 15%, respectively; P = .05).",Premise
2655,AbstRCT_neoplasm_16505413,"For HAI patients with thymidylate synthase levels in tumor less than or > or = 4, the median survival was 24 and 14 months, respectively (P = .17).",Premise
2656,AbstRCT_neoplasm_16505413,"HAI therapy increased overall survival, response rate, THP, and was associated with better physical functioning compared with systemic therapy.",Claim
2657,AbstRCT_neoplasm_16505413,Additional studies need to address the overall benefit and cost of new chemotherapy agents versus HAI alone or the combination of HAI with new agents.,Claim
2658,AbstRCT_neoplasm_17876009,"Overall, patients assigned to receive stress management training did not report significantly less psychological distress on the Medical Outcomes Study 36-Item Short Form (SF-36) Mental Component Summary Scale than did those assigned to usual care.",Premise
2659,AbstRCT_neoplasm_17876009,patients with above-average levels of psychological distress (scores < or = 50) who were randomly assigned to the intervention condition reported significant improvement in their distress compared with those assigned to usual care only on the SF-36 Mental Health Subscale and the Center for Epidemiologic Studies Depression Scale.,Premise
2660,AbstRCT_neoplasm_17876009,This study found that self-administered stress management training is effective only in those radiotherapy patients with initially higher levels of psychological distress.,Claim
2661,AbstRCT_neoplasm_17876009,Additional research should examine the benefits of stress management training targeted specifically to patients experiencing heightened distress.,Claim
2662,AbstRCT_neoplasm_18669464,Sunitinib provides superior QOL compared with IFN-alpha in mRCC patients.,Claim
2663,AbstRCT_neoplasm_18669464,"Patients receiving sunitinib reported higher FKSI-15 and FKSI-DRS scores at each cycle than those receiving IFN-alpha, with a significant difference in the overall least squares means (3.27 and 1.98, respectively; P < .0001).",Premise
2664,AbstRCT_neoplasm_18669464,"differences in least squares means for FACT-G (and all subscales), EQ-5D Index, and EQ-VAS were all significantly favorable for sunitinib (P < .01).",Premise
2665,AbstRCT_neoplasm_11438417,"Over 73 months after randomization, the fludarabine group gained a mean of 45 days of toxicity-free survival at CAP, and 61 days over ChOP.",Premise
2666,AbstRCT_neoplasm_11438417,"The mean TWIST was 27.05 months with CAP, 31.5 months with ChOP and 32.95 months with fludarabine.",Premise
2667,AbstRCT_neoplasm_11438417,"The threshold analyses showed that, whatever the utility weights, the mean Q-TWIST was always greater with ChOP or fludarabine as compared to CAP.",Premise
2668,AbstRCT_neoplasm_11438417,"Fludarabine was consistently a better treatment than ChOP,",Claim
2669,AbstRCT_neoplasm_11438417,except in the unlikely case of high utility weights attributed to toxicity and low utility weights attributed to treatment.,Premise
2670,AbstRCT_neoplasm_11438417,"from a clinical point of view, differences between ChOP and fludarabine were moderate or event slight (mean difference in TWIST of 1.45 months).",Premise
2671,AbstRCT_neoplasm_11438417,patients with advanced CLL have a moderate benefit in terms of Q-TWIST when treated with fludarabine over ChOP.,Claim
2672,AbstRCT_neoplasm_11438417,These two treatments are always superior to CAP.,Claim
2673,AbstRCT_neoplasm_23615094,"Serviceable hearing was lost in 54 of 71 (76%) (CM) and 34 of 53 (64%) (GKRS) patients during the study period (not significant, log-rank test).",Premise
2674,AbstRCT_neoplasm_23615094,There was a significant reduction in tumor volume over time in the GKRS group.,Premise
2675,AbstRCT_neoplasm_23615094,"The need for treatment following initial GKRS or CM differed at highly significant levels (log-rank test, P < .001).",Premise
2676,AbstRCT_neoplasm_23615094,Symptom and QoL development did not differ significantly between the groups.,Premise
2677,AbstRCT_neoplasm_23615094,"In VS patients, GKRS reduces the tumor growth rate and thereby the incidence rate of new treatment about tenfold.",Claim
2678,AbstRCT_neoplasm_23615094,Hearing is lost at similar rates in both groups.,Claim
2679,AbstRCT_neoplasm_23615094,Symptoms and QoL seem not to be significantly affected by GKRS.,Claim
2680,AbstRCT_neoplasm_23814044,Compliance rates for the EORTC questionnaires were acceptable at 72%-93% of eligible patients out to the 12-month assessment.,Premise
2681,AbstRCT_neoplasm_23814044,"Systemic side effect (SE) change scores were significantly improved for TCH-treated patients compared with AC→TH and AC→T at EOC, suggesting improved tolerability.",Premise
2682,AbstRCT_neoplasm_23814044,"Physical functioning (PF) was only slightly worse at midpoint for those receiving TCH, compared with patients who were just starting on taxane in an AC→TH regimen, but was otherwise similar between arms.",Premise
2683,AbstRCT_neoplasm_23814044,"All treatment arms recovered from the deterioration in SE, PF, and Global Health Scale scores by 1 year and median future perspective change scores continued to improve throughout treatment and follow-up.",Claim
2684,AbstRCT_neoplasm_23814044,HRQL outcomes for adjuvant docetaxel and trastuzumab-based regimens are favorable and support TCH as a more tolerable treatment option.,Claim
2685,AbstRCT_neoplasm_9640214,"The Cronbach's alpha coefficients were 0.79 and 0.73 for the body image and fear of recurrence scales, respectively.",Premise
2686,AbstRCT_neoplasm_9640214,Significant benefit in body image and satisfaction with treatment was observed in the BCT patients.,Premise
2687,AbstRCT_neoplasm_9640214,No significant difference was observed in fear of recurrence between the two groups.,Premise
2688,AbstRCT_neoplasm_9640214,"Ratings of cosmetic results decreased with time, in line with clinical observations of long-term side-effects of radiotherapy.",Premise
2689,AbstRCT_neoplasm_9640214,Wide excision appeared to be the most important predictive factor for poor cosmetic result.,Claim
2690,AbstRCT_neoplasm_9640214,"In this multicentre randomised study, BCT helped to maintain the patients' body image, resulted in higher satisfaction with treatment and yielded no significant difference from MRM with respect to fear of recurrence.",Claim
2691,AbstRCT_neoplasm_24007947,Analgesia and early quality of recovery may be improved by epidural analgesia.,MajorClaim
2692,AbstRCT_neoplasm_24007947,More patients without epidural (34%) ceased opioid analgesia 3-5 days after surgery compared to patients who had an epidural (7%; p<0.01).,Premise
2693,AbstRCT_neoplasm_24007947,Postoperative complications (any grade) occurred in 86% of patients with and in 66% of patients without an epidural (p<0.01),Premise
2694,AbstRCT_neoplasm_24007947,there was no difference in serious adverse events (p=0.19).,Premise
2695,AbstRCT_neoplasm_24007947,Epidural analgesia was associated with increased length of stay (up to 48 days compared to up to 34 days in the non-epidural group).,Premise
2696,AbstRCT_neoplasm_24007947,There was no difference in postoperative quality of life up to six months after surgery.,Claim
2697,AbstRCT_neoplasm_24007947,"Epidural analgesia was associated with an increase in any, but not serious, postoperative complications and length of stay after abdominal hysterectomy.",Claim
2698,AbstRCT_neoplasm_24007947,"Randomised controlled trials are needed to examine the effect of epidural analgesia on surgical adverse events,",MajorClaim
2699,AbstRCT_neoplasm_24007947,the present data do not support a quality of life benefit with epidural analgesia.,Claim
2700,AbstRCT_neoplasm_11970761,"Cutaneous T-cell lymphoma (CTCL) can be associated with painful, pruritic, disfiguring lesions.",Claim
2701,AbstRCT_neoplasm_11970761,"Composite FACT-G and most individual subscale scores (physical, social/family, emotional, and functional well being) in documented responders (n = 21) gradually increased during the study period, generally reaching statistical significance (P < 0.05) by cycle 3, and were significantly (P < or = 0.041) higher than the scores of nonresponders at endpoint.",Premise
2702,AbstRCT_neoplasm_11970761,"Additionally for responders, assessments of skin severity and pruritus severity showed significant (P < or = 0.05) improvements at study endpoint compared with baseline.",Premise
2703,AbstRCT_neoplasm_11970761,"Adverse transfusion-related events (eg, hypersensitivity reactions, flu-like syndrome) were common during cycles 1 and 2, and vascular-leak syndrome occurred in 25% of patients.",Premise
2704,AbstRCT_neoplasm_11970761,Denileukin diftitox was not associated with any clinically significant myelosuppression.,Claim
2705,AbstRCT_neoplasm_11970761,"Heavily pretreated patients with advanced and/or recurrent CTCL who responded to denileukin diftitox therapy showed significant improvements in self-rated overall QOL, skin appearance, and pruritus severity.",Claim
2706,AbstRCT_neoplasm_12047964,"The hazard ratios for overall survival were 0.88 (95% CI 0.70-1.12, p=0.17) for de Gramont versus Lokich, and 0.99 (0.79-1.25, p=0.94) for de Gramont versus raltitrexed.",Premise
2707,AbstRCT_neoplasm_12047964,"For the de Gramont, Lokich, and raltitrexed groups, respectively, median survival was 294, 302, and 266 days.",Premise
2708,AbstRCT_neoplasm_12047964,"An increase in treatment-related deaths was seen on raltitrexed (de Gramont one, Lokich two, raltitrexed 18) due to combined gastrointestinal and haematological toxicity.",Premise
2709,AbstRCT_neoplasm_12047964,"Patients' assessment of quality of life showed that raltitrexed was inferior to the fluorouracil-based regimens, especially in terms of palliation and functioning.",Premise
2710,AbstRCT_neoplasm_12047964,"The deGramont and Lokich regimens were similar in terms of survival, quality of life, and response rates.",Claim
2711,AbstRCT_neoplasm_12047964,The Lokich regimen was associated with more central line complications and hand-foot syndrome.,Claim
2712,AbstRCT_neoplasm_12047964,"Raltitrexed showed similar response rates and overall survival to the de Gramont regimen and was easier to administer,",Claim
2713,AbstRCT_neoplasm_12047964,but resulted in greater toxicity and inferior quality of life.,Claim
2714,AbstRCT_neoplasm_20821047,Tamoxifen-naïve patients had a higher mean ES (endocrine symptoms subscale) score at entry versus those having extended therapy (66.0 vs. 61.9; P = 0.001).,Premise
2715,AbstRCT_neoplasm_20821047,There was no significant change in FACT-B-ES (overall) scores or ES scores while patients were taking anastrozole or letrozole and no significant differences between drugs.,Premise
2716,AbstRCT_neoplasm_20821047,Nearly 80% of patients reported one or more side effects with either agent.,Premise
2717,AbstRCT_neoplasm_20821047,"No differences in frequency, grade, or range of side effects were seen between drugs.",Premise
2718,AbstRCT_neoplasm_20821047,both AIs are equally well tolerated.,Claim
2719,AbstRCT_neoplasm_20821047,There were no significant differences in QOL scores between the two drugs.,Claim
2720,AbstRCT_neoplasm_18589314,"The mean total costs per patient in the UAE group were significantly lower than those in the hysterectomy group ($11,626 vs $18,563; mean difference, -$6,936 [-37%], 95% CI: -$9,548, $4,281).",Premise
2721,AbstRCT_neoplasm_18589314,"From a societal economic perspective, UAE is the superior treatment strategy in women with symptomatic uterine fibroids.",Claim
2722,AbstRCT_neoplasm_18589314,The 24-month cumulative cost of UAE is lower than that of hysterectomy.,Premise
2723,AbstRCT_neoplasm_18589314,"The costs related to absence from work differed significantly between the treatment strategies in favor of UAE (mean difference, -$5,453; 95% CI: -$7,718, -$3,107).",Premise
2724,AbstRCT_neoplasm_18589314,"The direct medical in-hospital costs were significantly lower in the UAE group: $6,688 vs $8,313 (mean difference, -$1,624 [-20%], 95% CI: -$2,605, -$586).",Premise
2725,AbstRCT_neoplasm_18589314,"Direct medical out-of-hospital and direct nonmedical costs were low in both groups (mean cost difference, $156 in favor of hysterectomy).",Premise
2726,AbstRCT_neoplasm_20651011,"Over time, levels of fatigue significantly decreased in all domains in all groups,",Premise
2727,AbstRCT_neoplasm_20651011,except in mental fatigue in the WLC group.,Premise
2728,AbstRCT_neoplasm_20651011,"Analyses of variance of postintervention fatigue showed statistically significant group effects on general fatigue, on physical and mental fatigue, and on reduced activation but not on reduced motivation.",Premise
2729,AbstRCT_neoplasm_20651011,"Compared with the WLC group, the PT group reported significantly greater decline in 4 domains of fatigue, whereas the PT+CBT group reported significantly greater decline in physical fatigue only.",Premise
2730,AbstRCT_neoplasm_20651011,No significant differences in decline in fatigue were found between the PT+CBT and PT groups.,Premise
2731,AbstRCT_neoplasm_20651011,Physical training combined with cognitive-behavioral therapy and physical training alone had significant and beneficial effects on fatigue compared with no intervention.,Premise
2732,AbstRCT_neoplasm_20651011,"Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",Claim
2733,AbstRCT_neoplasm_20651011,cognitive-behavioral therapy did not have additional beneficial effects beyond the benefits of physical training.,Claim
2734,AbstRCT_neoplasm_23749688,"Meaningful differences in aerobic fitness between the exercise and usual care groups at both the 8-week [mean 3.0 mL kg(-1) min(-1) (95 % CI -1.1-7.0)] and 3-month follow-up [2.1 mL kg(-1) min(-1) (-2.3-6.6)] were found,",Premise
2735,AbstRCT_neoplasm_23749688,although these differences did not achieve statistical significance (p values >0.14).,Premise
2736,AbstRCT_neoplasm_23749688,Self-reported physical activity increased in the exercise group (EG) compared to the usual care group at both 8-week (p = 0.01) and 3-month follow-up (p = 0.03) and significant differences in favour of the EG were found for physical well-being at both the 8-week (p = 0.03) and 3-month follow-up (p = 0.04).,Premise
2737,AbstRCT_neoplasm_23749688,"Improvements in fatigue (p = 0.01), total quality of life plus fatigue (p = 0.04), and a composite physical functioning score (p = 0.01) at the 3-month follow-up were also found.",Premise
2738,AbstRCT_neoplasm_23749688,"The PEACH trial suggests that 8 weeks of supervised aerobic exercise training was feasible and may improve aerobic fitness, fatigue and quality of life in de-conditioned cancer survivors during the early survivorship phase.",Claim
2739,AbstRCT_neoplasm_23749688,"Exercise interventions commenced in the early survivorship phase appear safe, feasible and may lead to improvements in QOL and fatigue.",Claim
2740,AbstRCT_neoplasm_20625123,"Using an area under the serum concentration-time curve analysis, there was no evidence that methylphenidate, as compared with placebo, improved the primary end point of cancer-related fatigue in this patient population (P = .35).",Premise
2741,AbstRCT_neoplasm_20625123,"Comparisons of secondary end points, including clinically significant changes in quality-of-life variables and cancer-related fatigue change from baseline, were similarly negative.",Premise
2742,AbstRCT_neoplasm_20625123,"However, a subset analysis suggested that patients with more severe fatigue and/or with more advanced disease did have some fatigue improvement with methylphenidate (eg, in patients with stage III or IV disease, the mean improvement in usual fatigue was 19.7 with methylphenidate v 2.1 with placebo; P = .02).",Premise
2743,AbstRCT_neoplasm_20625123,"There was a significant difference in self-reported toxicities (SED), with increased levels of nervousness and appetite loss in the methylphenidate arm.",Premise
2744,AbstRCT_neoplasm_20625123,This clinical trial was unable to support the primary prestudy hypothesis that the chosen long-acting methylphenidate product would decrease cancer-related fatigue.,Claim
2745,AbstRCT_neoplasm_23860204,Epoetin alfa avoided the decrease in hemoglobin level (no decrease in the epoetin alfa group vs -2.20g/dL change for the control group; P < .001) and statistically significantly reduced the percentage of subjects requiring red blood cell transfusion (12.8% vs 28.1%; P < .0001).,Premise
2746,AbstRCT_neoplasm_23860204,The incidence of thrombotic events was 7% in the epoetin alfa arm vs 3% in the control arm.,Premise
2747,AbstRCT_neoplasm_23860204,"After a median follow-up of 62 months, epoetin alfa treatment did not affect overall survival, relapse-free survival, or intramammary relapse.",Premise
2748,AbstRCT_neoplasm_23860204,Epoetin alfa resulted in improved hemoglobin levels and decreased transfusions without an impact on relapse-free or overall survival.,Claim
2749,AbstRCT_neoplasm_23860204,"However, epoetin alfa had an adverse effect, resulting in increased thrombosis.",Claim
2750,AbstRCT_neoplasm_18591555,"Median overall survival was 17.2 months (95% CI, 13.5 to 21.9 months) with topotecan, 17.8 months (95% CI, 13.7 to 20.0 months) with topotecan plus etoposide (log-rank P = .7647), and 15.2 months (95% CI, 11.3 to 20.9 months) with topotecan plus gemcitabine (log-rank P = .2344).",Premise
2751,AbstRCT_neoplasm_18591555,Platinum-sensitive patients lived significantly longer than platinum-refractory patients (21.9 v 10.6 months).,Premise
2752,AbstRCT_neoplasm_18591555,Patients under combined treatment were at higher risk of severe thrombocytopenia.,Premise
2753,AbstRCT_neoplasm_18591555,Nonplatinum topotecan combinations do not provide a survival advantage over topotecan alone in women with relapsed ovarian cancer.,Claim
2754,AbstRCT_neoplasm_15288288,"Dysphagia improved more rapidly after stent placement than after brachytherapy,",Premise
2755,AbstRCT_neoplasm_15288288,but long-term relief of dysphagia was better after brachytherapy.,Premise
2756,AbstRCT_neoplasm_15288288,"For generic HRQoL, there was an overall significant difference in favour of brachytherapy on four out of five functional scales of the EORTC QLQ-C30 (role, emotional, cognitive and social) (P < 0.05).",Premise
2757,AbstRCT_neoplasm_15288288,"Generic HRQoL deteriorated over time on all functional scales of the EORTC QLQ C-30 and EQ-5D, in particular physical and role functioning (on average -23 and -24 on a 100 points scale during 0.5 years of follow-up).",Premise
2758,AbstRCT_neoplasm_15288288,This decline was more pronounced in the stent group.,Premise
2759,AbstRCT_neoplasm_15288288,"Major improvements were seen on the dysphagia and eating scales of the EORTC OES-23, in contrast to other scales of this disease-specific measure, which remained almost stable during follow-up.",Premise
2760,AbstRCT_neoplasm_15288288,"Reported levels of chest or abdominal pain remained stable during follow-up in both treatment groups,",Premise
2761,AbstRCT_neoplasm_15288288,general pain levels increased to a minor extent.,Premise
2762,AbstRCT_neoplasm_15288288,The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Claim
2763,AbstRCT_neoplasm_15288288,"Future studies on palliative care for oesophageal cancer should at least include generic HRQoL scales,",Claim
2764,AbstRCT_neoplasm_15288288,since these were more responsive in measuring patients' functioning and well-being during follow-up than disease-specific HRQoL scales.,Premise
2765,AbstRCT_neoplasm_17690882,KPS was improved from baseline to post-chemotherapy in both arms.,Premise
2766,AbstRCT_neoplasm_17690882,"Eighteen patients experienced brief and reversible adverse events during transfusion, including two patients with acute pulmonary edema.",Premise
2767,AbstRCT_neoplasm_17690882,"QOL data showed improvement in some symptom scores,",Premise
2768,AbstRCT_neoplasm_17690882,but there was no difference in the QOL scores between the two arms at baseline and all four cycles of treatment.,Premise
2769,AbstRCT_neoplasm_17690882,"Similar response rates were observed in both arms (arm 1, 30%; arm 2, 35%).",Premise
2770,AbstRCT_neoplasm_17690882,"Both arms showed similar chemotherapy duration (3.8 and 4.1 months, respectively), progression-free survival (4.0 and 4.1 months) and overall survival (9.9 and 9.3 months).",Premise
2771,AbstRCT_neoplasm_17690882,Red blood cell transfusion achieving Hb level above 10 g/dl might contribute to the improvement of the KPS and QOL seen in patients with AGC.,Claim
2772,AbstRCT_neoplasm_17690882,"The observation of equivalent outcomes at the two target Hb levels supports the feasibility of anemia correction to Hb 10 g/dl, which merits further evaluation",Claim
2773,AbstRCT_neoplasm_21905158,"The PA group reported significant increases in minutes of PA at 3 months (7-day PAR) and caloric expenditure (CHAMPS) compared with the control group,",Premise
2774,AbstRCT_neoplasm_21905158,but the group differences were attenuated over time.,Premise
2775,AbstRCT_neoplasm_21905158,"The PA group showed significant improvements in fitness at 3, 6, and 12 months versus the control group.",Premise
2776,AbstRCT_neoplasm_21905158,Improvements in motivational readiness for PA were reported in the PA group only at 3 months.,Premise
2777,AbstRCT_neoplasm_21905158,"No significant group differences were found for fatigue, self-reported physical functioning, and quality of life at 3, 6, and 12 months.",Premise
2778,AbstRCT_neoplasm_21905158,"A home-based intervention improved survivors' PA and motivational readiness at 3 months and increased submaximal aerobic fitness at 3, 6, and 12 months.",Claim
2779,AbstRCT_neoplasm_20600809,HT patients had a minimal decrease in natural killer cell cytotoxicity (NKCC) over the course of treatment whereas NKCC of RT and UC patients declined sharply during chemoradiation (group by time interaction: p = 0.018).,Premise
2780,AbstRCT_neoplasm_20600809,HT patients showed greater decreases in two different indicators of depressed mood (CES-D depressed mood subscale and POMS depression scale) compared to RT and UC (group by time interactions: p<0.05).,Premise
2781,AbstRCT_neoplasm_20600809,"No between group differences were observed in QOL, treatment delay, or clinically-rated toxicities.",Premise
2782,AbstRCT_neoplasm_20600809,HT may benefit cervical cancer patients by moderating effects of chemoradiation on depressed mood and cellular immunity.,Claim
2783,AbstRCT_neoplasm_20600809,"Effects of HT on toxicities, treatment delay, QOL, and fatigue were not observed.",Claim
2784,AbstRCT_neoplasm_12711121,Both patients with objective response and disease stabilisation had clearly better symptom control than those with disease progression.,Premise
2785,AbstRCT_neoplasm_12711121,"Symptom control in both arms was similar for 'disease-specific' symptoms such as cough, dyspnea, pain or haemoptysis.",Premise
2786,AbstRCT_neoplasm_12711121,"Compared to PV, a significantly larger number of GEM-patients had better scores for 'constitutional' items such as anorexia (P=0.007), ability to carry on with daily activities (P=0.04) and overall impression of quality-of-life (P=0.008).",Premise
2787,AbstRCT_neoplasm_12711121,"Symptom control was very similar in younger (<65 years) versus older (>/=65 years) patients, and only slightly better in those with a Karnofsky PS >/=80% compared to those <80%.",Premise
2788,AbstRCT_neoplasm_12711121,"Most of the symptom improvement occurred in the first 3 cycles, with some further symptom improvement in the following cycles in the GEM-arm only.",Premise
2789,AbstRCT_neoplasm_12711121,Both GEM and PV yield a symptom control rate much higher than expected by the objective tumour RR.,Claim
2790,AbstRCT_neoplasm_12711121,"GEM is equally effective in controlling 'disease-specific' symptoms, but superior in controlling 'constitutional' symptoms.",Claim
2791,AbstRCT_neoplasm_12711121,"Most of the symptom control was achieved during the first 3 cycles of treatment, with some further improvement thereafter in the GEM-arm only.",Premise
2792,AbstRCT_neoplasm_16462503,Fatigue has a significant impact on the quality of life (QOL) of cancer patients.,Claim
2793,AbstRCT_neoplasm_16462503,Recent research has suggested that physical activity can reduce fatigue in patients receiving active cancer treatment.,Claim
2794,AbstRCT_neoplasm_16462503,"Most of scores indicated less fatigue (higher score) in the standard treatment group,",Premise
2795,AbstRCT_neoplasm_16462503,"but there were no statistically significant differences found at baseline and weeks 4, 8, and 27 except for SDS at week 8 (P = 0.018) with less patients reporting significant fatigue in the standard treatment arm.",Premise
2796,AbstRCT_neoplasm_16462503,"For the entire participant population, fatigue levels initially worsened with radiotherapy, stabilized at week 8, and returned to baseline by week 27.",Premise
2797,AbstRCT_neoplasm_16462503,"Disease site, chemotherapy use, and radiotherapy dose did not have a significant impact on fatigue levels.",Premise
2798,AbstRCT_neoplasm_16462503,Radiotherapy initially caused a worsening of fatigue but with time fatigue levels returned to baseline,Premise
2799,AbstRCT_neoplasm_16462503,"Clinically, this structured multidisciplinary intervention had no impact on fatigue,",Claim
2800,AbstRCT_neoplasm_16462503,there was the suggestion the multiple sessions may have contributed to worse fatigue during active cancer treatment.,Claim
2801,AbstRCT_neoplasm_12657097,"At radical prostatectomy, pathological variables were not significantly different in the two groups.",Premise
2802,AbstRCT_neoplasm_12657097,"Serum testosterone level was significantly higher (mean 359.2 compared to 10.5, P < 0.001),",Premise
2803,AbstRCT_neoplasm_12657097,"complete response rate of PSA (13% compared to 57%, P = 0.028) and rate of downsizing of prostate volume (mean, -17.7% compared to -35.4%, P = 0.038) were significantly lower in the flutamide group than in the LHRH group.",Premise
2804,AbstRCT_neoplasm_12657097,"After neoadjuvant hormone therapy, the scores on the sexual problem domain of EORTC-P (P = 0.033) and sexual desire score of SMUF (P = 0.021) were significantly higher in the flutamide group than in the LHRH group.",Premise
