,text_id,source_tokens,target_tokens,labels
2105,AbstRCT_neoplasm_24007947,Epidural analgesia was associated with increased length of stay (up to 48 days compared to up to 34 days in the non-epidural group).,"Epidural analgesia was associated with an increase in any, but not serious, postoperative complications and length of stay after abdominal hysterectomy.",Support
2106,AbstRCT_neoplasm_24007947,there was no difference in serious adverse events (p=0.19).,"Epidural analgesia was associated with an increase in any, but not serious, postoperative complications and length of stay after abdominal hysterectomy.",Support
2107,AbstRCT_neoplasm_24007947,Postoperative complications (any grade) occurred in 86% of patients with and in 66% of patients without an epidural (p<0.01),"Epidural analgesia was associated with an increase in any, but not serious, postoperative complications and length of stay after abdominal hysterectomy.",Support
2108,AbstRCT_neoplasm_11970761,"Additionally for responders, assessments of skin severity and pruritus severity showed significant (P < or = 0.05) improvements at study endpoint compared with baseline.","Heavily pretreated patients with advanced and/or recurrent CTCL who responded to denileukin diftitox therapy showed significant improvements in self-rated overall QOL, skin appearance, and pruritus severity.",Support
2109,AbstRCT_neoplasm_11970761,"Composite FACT-G and most individual subscale scores (physical, social/family, emotional, and functional well being) in documented responders (n = 21) gradually increased during the study period, generally reaching statistical significance (P < 0.05) by cycle 3, and were significantly (P < or = 0.041) higher than the scores of nonresponders at endpoint.","Heavily pretreated patients with advanced and/or recurrent CTCL who responded to denileukin diftitox therapy showed significant improvements in self-rated overall QOL, skin appearance, and pruritus severity.",Support
2110,AbstRCT_neoplasm_12047964,"For the de Gramont, Lokich, and raltitrexed groups, respectively, median survival was 294, 302, and 266 days.","The deGramont and Lokich regimens were similar in terms of survival, quality of life, and response rates.",Support
2111,AbstRCT_neoplasm_12047964,"The hazard ratios for overall survival were 0.88 (95% CI 0.70-1.12, p=0.17) for de Gramont versus Lokich, and 0.99 (0.79-1.25, p=0.94) for de Gramont versus raltitrexed.","The deGramont and Lokich regimens were similar in terms of survival, quality of life, and response rates.",Support
2112,AbstRCT_neoplasm_12047964,but resulted in greater toxicity and inferior quality of life.,"Raltitrexed showed similar response rates and overall survival to the de Gramont regimen and was easier to administer,",Partial-Attack
2113,AbstRCT_neoplasm_12047964,"Patients' assessment of quality of life showed that raltitrexed was inferior to the fluorouracil-based regimens, especially in terms of palliation and functioning.",but resulted in greater toxicity and inferior quality of life.,Support
2114,AbstRCT_neoplasm_20821047,"No differences in frequency, grade, or range of side effects were seen between drugs.",both AIs are equally well tolerated.,Support
2115,AbstRCT_neoplasm_20821047,There was no significant change in FACT-B-ES (overall) scores or ES scores while patients were taking anastrozole or letrozole and no significant differences between drugs.,both AIs are equally well tolerated.,Support
2116,AbstRCT_neoplasm_20821047,Tamoxifen-naïve patients had a higher mean ES (endocrine symptoms subscale) score at entry versus those having extended therapy (66.0 vs. 61.9; P = 0.001).,both AIs are equally well tolerated.,Support
2117,AbstRCT_neoplasm_20821047,There was no significant change in FACT-B-ES (overall) scores or ES scores while patients were taking anastrozole or letrozole and no significant differences between drugs.,There were no significant differences in QOL scores between the two drugs.,Support
2118,AbstRCT_neoplasm_20821047,Tamoxifen-naïve patients had a higher mean ES (endocrine symptoms subscale) score at entry versus those having extended therapy (66.0 vs. 61.9; P = 0.001).,There were no significant differences in QOL scores between the two drugs.,Support
2119,AbstRCT_neoplasm_20821047,Nearly 80% of patients reported one or more side effects with either agent.,both AIs are equally well tolerated.,Partial-Attack
2120,AbstRCT_neoplasm_18589314,The 24-month cumulative cost of UAE is lower than that of hysterectomy.,"From a societal economic perspective, UAE is the superior treatment strategy in women with symptomatic uterine fibroids.",Support
2121,AbstRCT_neoplasm_18589314,"The costs related to absence from work differed significantly between the treatment strategies in favor of UAE (mean difference, -$5,453; 95% CI: -$7,718, -$3,107).","From a societal economic perspective, UAE is the superior treatment strategy in women with symptomatic uterine fibroids.",Support
2122,AbstRCT_neoplasm_18589314,"Direct medical out-of-hospital and direct nonmedical costs were low in both groups (mean cost difference, $156 in favor of hysterectomy).","From a societal economic perspective, UAE is the superior treatment strategy in women with symptomatic uterine fibroids.",Support
2123,AbstRCT_neoplasm_18589314,"The direct medical in-hospital costs were significantly lower in the UAE group: $6,688 vs $8,313 (mean difference, -$1,624 [-20%], 95% CI: -$2,605, -$586).","From a societal economic perspective, UAE is the superior treatment strategy in women with symptomatic uterine fibroids.",Support
2124,AbstRCT_neoplasm_18589314,"The mean total costs per patient in the UAE group were significantly lower than those in the hysterectomy group ($11,626 vs $18,563; mean difference, -$6,936 [-37%], 95% CI: -$9,548, $4,281).","From a societal economic perspective, UAE is the superior treatment strategy in women with symptomatic uterine fibroids.",Support
2125,AbstRCT_neoplasm_20651011,"Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",cognitive-behavioral therapy did not have additional beneficial effects beyond the benefits of physical training.,Support
2126,AbstRCT_neoplasm_20651011,Physical training combined with cognitive-behavioral therapy and physical training alone had significant and beneficial effects on fatigue compared with no intervention.,"Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",Support
2127,AbstRCT_neoplasm_20651011,No significant differences in decline in fatigue were found between the PT+CBT and PT groups.,"Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",Support
2128,AbstRCT_neoplasm_20651011,"Compared with the WLC group, the PT group reported significantly greater decline in 4 domains of fatigue, whereas the PT+CBT group reported significantly greater decline in physical fatigue only.","Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",Support
2129,AbstRCT_neoplasm_20651011,except in mental fatigue in the WLC group.,"Over time, levels of fatigue significantly decreased in all domains in all groups,",Partial-Attack
2130,AbstRCT_neoplasm_20651011,"Over time, levels of fatigue significantly decreased in all domains in all groups,","Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",Support
2131,AbstRCT_neoplasm_20651011,"Analyses of variance of postintervention fatigue showed statistically significant group effects on general fatigue, on physical and mental fatigue, and on reduced activation but not on reduced motivation.","Physical training was equally effective as or more effective than physical training combined with cognitive-behavioral therapy in reducing cancer-related fatigue,",Support
2132,AbstRCT_neoplasm_23749688,"Improvements in fatigue (p = 0.01), total quality of life plus fatigue (p = 0.04), and a composite physical functioning score (p = 0.01) at the 3-month follow-up were also found.","The PEACH trial suggests that 8 weeks of supervised aerobic exercise training was feasible and may improve aerobic fitness, fatigue and quality of life in de-conditioned cancer survivors during the early survivorship phase.",Support
2133,AbstRCT_neoplasm_23749688,Self-reported physical activity increased in the exercise group (EG) compared to the usual care group at both 8-week (p = 0.01) and 3-month follow-up (p = 0.03) and significant differences in favour of the EG were found for physical well-being at both the 8-week (p = 0.03) and 3-month follow-up (p = 0.04).,"The PEACH trial suggests that 8 weeks of supervised aerobic exercise training was feasible and may improve aerobic fitness, fatigue and quality of life in de-conditioned cancer survivors during the early survivorship phase.",Support
2134,AbstRCT_neoplasm_23749688,although these differences did not achieve statistical significance (p values >0.14).,"Meaningful differences in aerobic fitness between the exercise and usual care groups at both the 8-week [mean 3.0 mL kg(-1) min(-1) (95 % CI -1.1-7.0)] and 3-month follow-up [2.1 mL kg(-1) min(-1) (-2.3-6.6)] were found,",Attack
2135,AbstRCT_neoplasm_23749688,"Meaningful differences in aerobic fitness between the exercise and usual care groups at both the 8-week [mean 3.0 mL kg(-1) min(-1) (95 % CI -1.1-7.0)] and 3-month follow-up [2.1 mL kg(-1) min(-1) (-2.3-6.6)] were found,","The PEACH trial suggests that 8 weeks of supervised aerobic exercise training was feasible and may improve aerobic fitness, fatigue and quality of life in de-conditioned cancer survivors during the early survivorship phase.",Support
2136,AbstRCT_neoplasm_23749688,"The PEACH trial suggests that 8 weeks of supervised aerobic exercise training was feasible and may improve aerobic fitness, fatigue and quality of life in de-conditioned cancer survivors during the early survivorship phase.","Exercise interventions commenced in the early survivorship phase appear safe, feasible and may lead to improvements in QOL and fatigue.",Support
2137,AbstRCT_neoplasm_20625123,"There was a significant difference in self-reported toxicities (SED), with increased levels of nervousness and appetite loss in the methylphenidate arm.",This clinical trial was unable to support the primary prestudy hypothesis that the chosen long-acting methylphenidate product would decrease cancer-related fatigue.,Support
2138,AbstRCT_neoplasm_20625123,"However, a subset analysis suggested that patients with more severe fatigue and/or with more advanced disease did have some fatigue improvement with methylphenidate (eg, in patients with stage III or IV disease, the mean improvement in usual fatigue was 19.7 with methylphenidate v 2.1 with placebo; P = .02).",This clinical trial was unable to support the primary prestudy hypothesis that the chosen long-acting methylphenidate product would decrease cancer-related fatigue.,Support
2139,AbstRCT_neoplasm_20625123,"Comparisons of secondary end points, including clinically significant changes in quality-of-life variables and cancer-related fatigue change from baseline, were similarly negative.",This clinical trial was unable to support the primary prestudy hypothesis that the chosen long-acting methylphenidate product would decrease cancer-related fatigue.,Support
2140,AbstRCT_neoplasm_20625123,"Using an area under the serum concentration-time curve analysis, there was no evidence that methylphenidate, as compared with placebo, improved the primary end point of cancer-related fatigue in this patient population (P = .35).",This clinical trial was unable to support the primary prestudy hypothesis that the chosen long-acting methylphenidate product would decrease cancer-related fatigue.,Support
2141,AbstRCT_neoplasm_23860204,"After a median follow-up of 62 months, epoetin alfa treatment did not affect overall survival, relapse-free survival, or intramammary relapse.",Epoetin alfa resulted in improved hemoglobin levels and decreased transfusions without an impact on relapse-free or overall survival.,Support
2142,AbstRCT_neoplasm_23860204,The incidence of thrombotic events was 7% in the epoetin alfa arm vs 3% in the control arm.,"However, epoetin alfa had an adverse effect, resulting in increased thrombosis.",Support
2143,AbstRCT_neoplasm_23860204,Epoetin alfa avoided the decrease in hemoglobin level (no decrease in the epoetin alfa group vs -2.20g/dL change for the control group; P < .001) and statistically significantly reduced the percentage of subjects requiring red blood cell transfusion (12.8% vs 28.1%; P < .0001).,Epoetin alfa resulted in improved hemoglobin levels and decreased transfusions without an impact on relapse-free or overall survival.,Support
2144,AbstRCT_neoplasm_18591555,"Median overall survival was 17.2 months (95% CI, 13.5 to 21.9 months) with topotecan, 17.8 months (95% CI, 13.7 to 20.0 months) with topotecan plus etoposide (log-rank P = .7647), and 15.2 months (95% CI, 11.3 to 20.9 months) with topotecan plus gemcitabine (log-rank P = .2344).",Nonplatinum topotecan combinations do not provide a survival advantage over topotecan alone in women with relapsed ovarian cancer.,Support
2145,AbstRCT_neoplasm_15288288,but long-term relief of dysphagia was better after brachytherapy.,"Dysphagia improved more rapidly after stent placement than after brachytherapy,",Partial-Attack
2146,AbstRCT_neoplasm_15288288,This decline was more pronounced in the stent group.,The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2147,AbstRCT_neoplasm_15288288,"Generic HRQoL deteriorated over time on all functional scales of the EORTC QLQ C-30 and EQ-5D, in particular physical and role functioning (on average -23 and -24 on a 100 points scale during 0.5 years of follow-up).",The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2148,AbstRCT_neoplasm_15288288,"For generic HRQoL, there was an overall significant difference in favour of brachytherapy on four out of five functional scales of the EORTC QLQ-C30 (role, emotional, cognitive and social) (P < 0.05).",The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2149,AbstRCT_neoplasm_15288288,since these were more responsive in measuring patients' functioning and well-being during follow-up than disease-specific HRQoL scales.,"Future studies on palliative care for oesophageal cancer should at least include generic HRQoL scales,",Support
2150,AbstRCT_neoplasm_15288288,"Future studies on palliative care for oesophageal cancer should at least include generic HRQoL scales,",The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Partial-Attack
2151,AbstRCT_neoplasm_15288288,"Dysphagia improved more rapidly after stent placement than after brachytherapy,",The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2152,AbstRCT_neoplasm_15288288,"Major improvements were seen on the dysphagia and eating scales of the EORTC OES-23, in contrast to other scales of this disease-specific measure, which remained almost stable during follow-up.",The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2153,AbstRCT_neoplasm_15288288,"Reported levels of chest or abdominal pain remained stable during follow-up in both treatment groups,",The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2154,AbstRCT_neoplasm_15288288,general pain levels increased to a minor extent.,The effects of single dose brachytherapy on HRQoL compared favourably to those of stent placement for the palliation of oesophageal cancer.,Support
2155,AbstRCT_neoplasm_17690882,but there was no difference in the QOL scores between the two arms at baseline and all four cycles of treatment.,"QOL data showed improvement in some symptom scores,",Partial-Attack
2156,AbstRCT_neoplasm_17690882,"QOL data showed improvement in some symptom scores,",Red blood cell transfusion achieving Hb level above 10 g/dl might contribute to the improvement of the KPS and QOL seen in patients with AGC.,Support
2157,AbstRCT_neoplasm_17690882,KPS was improved from baseline to post-chemotherapy in both arms.,Red blood cell transfusion achieving Hb level above 10 g/dl might contribute to the improvement of the KPS and QOL seen in patients with AGC.,Support
2158,AbstRCT_neoplasm_17690882,"Eighteen patients experienced brief and reversible adverse events during transfusion, including two patients with acute pulmonary edema.",Red blood cell transfusion achieving Hb level above 10 g/dl might contribute to the improvement of the KPS and QOL seen in patients with AGC.,Support
2159,AbstRCT_neoplasm_17690882,"Similar response rates were observed in both arms (arm 1, 30%; arm 2, 35%).","The observation of equivalent outcomes at the two target Hb levels supports the feasibility of anemia correction to Hb 10 g/dl, which merits further evaluation",Support
2160,AbstRCT_neoplasm_17690882,"Both arms showed similar chemotherapy duration (3.8 and 4.1 months, respectively), progression-free survival (4.0 and 4.1 months) and overall survival (9.9 and 9.3 months).","The observation of equivalent outcomes at the two target Hb levels supports the feasibility of anemia correction to Hb 10 g/dl, which merits further evaluation",Support
2161,AbstRCT_neoplasm_21905158,"The PA group showed significant improvements in fitness at 3, 6, and 12 months versus the control group.","A home-based intervention improved survivors' PA and motivational readiness at 3 months and increased submaximal aerobic fitness at 3, 6, and 12 months.",Support
2162,AbstRCT_neoplasm_21905158,Improvements in motivational readiness for PA were reported in the PA group only at 3 months.,"A home-based intervention improved survivors' PA and motivational readiness at 3 months and increased submaximal aerobic fitness at 3, 6, and 12 months.",Support
2163,AbstRCT_neoplasm_21905158,but the group differences were attenuated over time.,"The PA group reported significant increases in minutes of PA at 3 months (7-day PAR) and caloric expenditure (CHAMPS) compared with the control group,",Partial-Attack
2164,AbstRCT_neoplasm_21905158,"The PA group reported significant increases in minutes of PA at 3 months (7-day PAR) and caloric expenditure (CHAMPS) compared with the control group,","A home-based intervention improved survivors' PA and motivational readiness at 3 months and increased submaximal aerobic fitness at 3, 6, and 12 months.",Support
2165,AbstRCT_neoplasm_20600809,"No between group differences were observed in QOL, treatment delay, or clinically-rated toxicities.","Effects of HT on toxicities, treatment delay, QOL, and fatigue were not observed.",Support
2166,AbstRCT_neoplasm_20600809,HT patients showed greater decreases in two different indicators of depressed mood (CES-D depressed mood subscale and POMS depression scale) compared to RT and UC (group by time interactions: p<0.05).,HT may benefit cervical cancer patients by moderating effects of chemoradiation on depressed mood and cellular immunity.,Support
2167,AbstRCT_neoplasm_20600809,HT patients had a minimal decrease in natural killer cell cytotoxicity (NKCC) over the course of treatment whereas NKCC of RT and UC patients declined sharply during chemoradiation (group by time interaction: p = 0.018).,HT may benefit cervical cancer patients by moderating effects of chemoradiation on depressed mood and cellular immunity.,Support
2168,AbstRCT_neoplasm_12711121,"Compared to PV, a significantly larger number of GEM-patients had better scores for 'constitutional' items such as anorexia (P=0.007), ability to carry on with daily activities (P=0.04) and overall impression of quality-of-life (P=0.008).","GEM is equally effective in controlling 'disease-specific' symptoms, but superior in controlling 'constitutional' symptoms.",Support
2169,AbstRCT_neoplasm_12711121,Both patients with objective response and disease stabilisation had clearly better symptom control than those with disease progression.,Both GEM and PV yield a symptom control rate much higher than expected by the objective tumour RR.,Support
2170,AbstRCT_neoplasm_12711121,"Symptom control in both arms was similar for 'disease-specific' symptoms such as cough, dyspnea, pain or haemoptysis.",Both GEM and PV yield a symptom control rate much higher than expected by the objective tumour RR.,Support
2171,AbstRCT_neoplasm_16462503,Radiotherapy initially caused a worsening of fatigue but with time fatigue levels returned to baseline,there was the suggestion the multiple sessions may have contributed to worse fatigue during active cancer treatment.,Support
